week,proposed_price_change,proposed_ad_spend,guardian_would_repair,guardian_validation_msg,repaired_price_change,repaired_ad_spend,actual_price,actual_trust,actual_profit,profit_delta,is_catastrophic,sales_volume
21,-0.1,15.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,15.0,50.0,1.0,-15.0,5.0,False,1985
22,0.2,30.0,False,Action is valid and compliant with all rules.,0.2,30.0,60.0,0.9783290969094431,16870.0,16885.0,False,1690
23,-0.2,50.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,-0.009803921568627416,50.0,50.0,1.0,-50.0,-16920.0,True,1981
24,-0.15,30.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,30.0,50.0,1.0,-30.0,20.0,False,1901
25,0.2,-20.0,True,Rule Violation: Ad spend cannot be negative.,0.2,0.0,60.0,0.97804,14530.0,14560.0,False,1453
26,0.2,15.0,False,Action is valid and compliant with all rules.,0.2,15.0,72.0,0.9567046604454132,25725.0,11195.0,False,1170
27,0.25,30.0,False,Action is valid and compliant with all rules.,0.25,30.0,90.0,0.9359720064626166,34010.0,8285.0,False,851
28,-0.5,50.0,True,Rule Violation: Weekly discount cannot exceed 40%.,-0.33986928104575165,50.0,50.0,0.9625924857457774,-50.0,-34060.0,True,1744
29,0.35,-25.0,True,Rule Violation: Ad spend cannot be negative.,0.35,0.0,67.5,0.9414539547588001,20037.5,20087.5,False,1145
30,-0.2,15.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,-0.11982570806100212,15.0,54.0,0.967902264019798,6529.0,-13508.5,True,1636
31,-0.1,18.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.10021786492374729,18.0,50.0,0.9951229507307974,-18.0,-6547.0,True,1596
32,-0.2,36.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,36.0,50.0,1.0,-36.0,-18.0,False,1569
33,-0.5,72.0,True,Rule Violation: Weekly discount cannot exceed 40%.,0.18823529411764706,72.0,50.0,1.0,-72.0,-36.0,False,1530
34,-0.5,20.0,True,Rule Violation: Weekly discount cannot exceed 40%.,0.18823529411764706,20.0,50.0,1.0,-20.0,52.0,False,1592
35,0.4,10.0,False,Action is valid and compliant with all rules.,0.4,10.0,70.0,0.9781373182158762,20910.0,20930.0,False,1046
36,0.2,40.0,False,Action is valid and compliant with all rules.,0.2,40.0,84.0,0.9570326305714754,26174.0,5264.0,False,771
37,0.25,20.0,False,Action is valid and compliant with all rules.,0.25,20.0,105.0,0.9362015498024563,30120.0,3946.0,False,548
38,0.1,70.0,False,Action is valid and compliant with all rules.,0.1,70.0,115.50000000000001,0.9349613011758076,32221.500000000007,2101.5000000000073,False,493
39,0.2,70.0,False,Action is valid and compliant with all rules.,0.2,70.0,138.60000000000002,0.9150482416774399,36876.20000000001,4654.700000000004,False,417
40,-0.4,140.0,False,Action is valid and compliant with all rules.,-0.4,140.0,83.16000000000001,0.9418471606335643,26785.920000000013,-10090.279999999999,True,812
41,-0.15,50.0,False,Action is valid and compliant with all rules.,-0.15,50.0,70.686,0.968634738311563,20346.396000000008,-6439.524000000005,True,986
42,-0.15,25.0,False,Action is valid and compliant with all rules.,-0.15,25.0,60.0831,0.9959442568467155,11691.5622,-8654.833800000008,True,1162
43,-0.2,50.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,-0.011173446345439042,50.0,50.0,1.0,-50.0,-11741.5622,True,1552
44,-0.4,100.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,100.0,50.0,1.0,-100.0,-50.0,False,1588
45,-0.5,150.0,True,Rule Violation: Weekly discount cannot exceed 40%.,0.18823529411764706,150.0,50.0,1.0,-150.0,-50.0,False,1646
46,-0.4,180.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,180.0,50.0,1.0,-180.0,-30.0,False,1746
47,-0.2,100.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,100.0,50.0,1.0,-100.0,80.0,False,1694
48,-0.2,50.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,50.0,50.0,1.0,-50.0,50.0,False,1748
49,-0.4,-20.0,True,Rule Violation: Ad spend cannot be negative.,0.18823529411764706,0.0,50.0,1.0,0.0,50.0,False,1713
50,-0.2,20.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,20.0,50.0,1.0,-20.0,-20.0,False,1785
51,-0.4,30.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,30.0,50.0,1.0,-30.0,-10.0,False,1866
52,-0.4,100.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,100.0,50.0,1.0,-100.0,-70.0,False,1752
